log_id,user_id,department,timestamp,resource_accessed,action,data_volume_mb,resource_sensitivity,is_planted_anomaly,anomaly_reason
4310,EMP034,IT_Admin,2026-06-11 06:01:30.052553,User_Access_Manager,edit,0.87,10,0,
5135,EMP038,Finance,2026-06-11 06:05:06.052553,Budget_Sheets,edit,2.34,9,0,
885,EMP006,IT_Admin,2026-06-11 06:11:45.052553,Server_Logs,view,0.15,10,0,
1505,EMP013,Sales,2026-06-11 06:17:26.052553,CRM_System,view,0.18,6,0,
6209,EMP046,Sales,2026-06-11 06:17:49.052553,Pricing_Sheets,view,0.39,6,0,
3870,EMP031,Engineering,2026-06-11 06:20:45.052553,Bug_Tracker,edit,0.14,6,0,
1127,EMP009,Finance,2026-06-11 06:42:01.052553,Budget_Sheets,view,0.14,9,0,
5127,EMP038,Finance,2026-06-11 06:45:03.052553,Budget_Sheets,view,1.4,9,0,
1129,EMP009,Finance,2026-06-11 06:54:34.052553,Tax_Records,download,18.07,9,0,
1636,EMP014,IT_Admin,2026-06-11 07:00:24.052553,Backup_System,view,0.38,10,0,
1124,EMP009,Finance,2026-06-11 07:04:22.052553,Payroll_DB,view,2.09,9,0,
1021,EMP008,Sales,2026-06-11 07:06:52.052553,Customer_Contracts,edit,3.38,6,0,
3186,EMP027,Finance,2026-06-11 07:07:10.052553,Invoice_System,view,0.32,9,0,
1945,EMP016,Marketing,2026-06-11 07:10:03.052553,Analytics_Portal,edit,1.36,4,0,
5772,EMP043,IT_Admin,2026-06-11 07:15:53.052553,Server_Logs,view,0.5,10,0,
1638,EMP014,IT_Admin,2026-06-11 07:19:25.052553,All_Systems_Console,edit,0.86,10,0,
5132,EMP038,Finance,2026-06-11 07:20:06.052553,Payroll_DB,view,0.8,9,0,
136,EMP002,Finance,2026-06-11 07:20:21.052553,Budget_Sheets,view,2.37,9,0,
2793,EMP024,Marketing,2026-06-11 07:21:22.052553,Analytics_Portal,download,5.49,4,0,
1931,EMP016,Marketing,2026-06-11 07:22:26.052553,Social_Media_Tools,view,0.49,4,0,
5327,EMP039,Engineering,2026-06-11 07:22:52.052553,CI_CD_Pipeline,download,1.34,6,0,
2786,EMP024,Marketing,2026-06-11 07:23:58.052553,Campaign_Dashboard,view,2.01,4,0,
5136,EMP038,Finance,2026-06-11 07:24:06.052553,Payroll_DB,view,2.38,9,0,
6026,EMP045,IT_Admin,2026-06-11 07:24:51.052553,Server_Logs,edit,0.18,10,0,
352,EMP003,Engineering,2026-06-11 07:25:55.052553,Cloud_Infra_Console,edit,1.47,6,0,
1941,EMP016,Marketing,2026-06-11 07:25:56.052553,Analytics_Portal,download,7.13,4,0,
6574,EMP049,HR,2026-06-11 07:28:21.052553,Performance_Reviews,edit,2.46,9,0,
2691,EMP023,Finance,2026-06-11 07:32:06.052553,Invoice_System,view,3.69,9,0,
3549,EMP029,Finance,2026-06-11 07:32:08.052553,Invoice_System,view,0.03,9,0,
5770,EMP043,IT_Admin,2026-06-11 07:32:29.052553,Server_Logs,edit,0.2,10,0,
1269,EMP010,Finance,2026-06-11 07:33:34.052553,Tax_Records,edit,0.69,9,0,
5320,EMP039,Engineering,2026-06-11 07:33:51.052553,Source_Code_Repo,view,1.84,6,0,
5131,EMP038,Finance,2026-06-11 07:34:59.052553,Tax_Records,download,5.42,9,0,
4877,EMP037,Finance,2026-06-11 07:37:17.052553,Invoice_System,view,0.12,9,0,
5134,EMP038,Finance,2026-06-11 07:38:06.052553,Invoice_System,view,0.06,9,0,
5128,EMP038,Finance,2026-06-11 07:39:21.052553,Tax_Records,view,1.28,9,0,
3987,EMP032,Sales,2026-06-11 07:41:29.052553,Customer_Contracts,edit,0.64,6,0,
1939,EMP016,Marketing,2026-06-11 07:43:37.052553,Social_Media_Tools,edit,0.18,4,0,
5133,EMP038,Finance,2026-06-11 07:44:19.052553,Payroll_DB,edit,1.24,9,0,
5130,EMP038,Finance,2026-06-11 07:46:52.052553,Payroll_DB,view,0.4,9,0,
3185,EMP027,Finance,2026-06-11 07:48:00.052553,Invoice_System,view,0.12,9,0,
4302,EMP034,IT_Admin,2026-06-11 07:48:59.052553,All_Systems_Console,view,1.01,10,0,
2306,EMP020,Marketing,2026-06-11 07:54:12.052553,Analytics_Portal,view,0.77,4,0,
1022,EMP008,Sales,2026-06-11 07:54:18.052553,Pricing_Sheets,edit,0.11,6,0,
1942,EMP016,Marketing,2026-06-11 07:56:36.052553,Campaign_Dashboard,view,0.41,4,0,
1803,EMP015,IT_Admin,2026-06-11 07:59:01.052553,Backup_System,view,3.75,10,0,
6573,EMP049,HR,2026-06-11 08:00:00.052553,Employee_Records,view,0.99,9,0,
5775,EMP043,IT_Admin,2026-06-11 08:01:41.052553,Backup_System,edit,0.14,10,0,
3179,EMP027,Finance,2026-06-11 08:02:20.052553,Budget_Sheets,edit,1.17,9,0,
5767,EMP043,IT_Admin,2026-06-11 08:02:26.052553,Backup_System,view,0.17,10,0,
3690,EMP030,Finance,2026-06-11 08:02:59.052553,Payroll_DB,edit,0.4,9,0,
3869,EMP031,Engineering,2026-06-11 08:03:22.052553,Source_Code_Repo,view,0.66,6,0,
3699,EMP030,Finance,2026-06-11 08:03:58.052553,Budget_Sheets,edit,0.02,9,0,
6024,EMP045,IT_Admin,2026-06-11 08:04:28.052553,All_Systems_Console,view,0.4,10,0,
2197,EMP018,Engineering,2026-06-11 08:06:01.052553,Bug_Tracker,view,1.18,6,0,
3187,EMP027,Finance,2026-06-11 08:07:02.052553,Budget_Sheets,view,2.39,9,0,
1934,EMP016,Marketing,2026-06-11 08:08:00.052553,Analytics_Portal,view,2.42,4,0,
2582,EMP022,HR,2026-06-11 08:08:40.052553,Employee_Records,view,0.08,9,0,
5328,EMP039,Engineering,2026-06-11 08:09:10.052553,CI_CD_Pipeline,edit,0.84,6,0,
4309,EMP034,IT_Admin,2026-06-11 08:10:11.052553,All_Systems_Console,edit,0.26,10,0,
3366,EMP028,Marketing,2026-06-11 08:10:49.052553,Analytics_Portal,view,1.17,4,0,
5321,EMP039,Engineering,2026-06-11 08:10:58.052553,Source_Code_Repo,view,0.25,6,0,
1933,EMP016,Marketing,2026-06-11 08:11:40.052553,Analytics_Portal,edit,0.09,4,0,
4881,EMP037,Finance,2026-06-11 08:14:45.052553,Payroll_DB,view,1.56,9,0,
1936,EMP016,Marketing,2026-06-11 08:15:33.052553,Campaign_Dashboard,edit,0.37,4,0,
2307,EMP020,Marketing,2026-06-11 08:16:07.052553,Campaign_Dashboard,view,1.69,4,0,
3180,EMP027,Finance,2026-06-11 08:17:44.052553,Invoice_System,edit,0.25,9,0,
6576,EMP049,HR,2026-06-11 08:22:04.052553,Performance_Reviews,view,1.31,9,0,
3686,EMP030,Finance,2026-06-11 08:22:06.052553,Invoice_System,view,0.65,9,0,
355,EMP003,Engineering,2026-06-11 08:22:22.052553,CI_CD_Pipeline,view,1.17,6,0,
3697,EMP030,Finance,2026-06-11 08:23:09.052553,Invoice_System,download,13.15,9,0,
6033,EMP045,IT_Admin,2026-06-11 08:24:03.052553,User_Access_Manager,view,1.58,10,0,
4874,EMP037,Finance,2026-06-11 08:24:36.052553,Payroll_DB,view,1.88,9,0,
3363,EMP028,Marketing,2026-06-11 08:24:58.052553,Campaign_Dashboard,view,1.02,4,0,
5129,EMP038,Finance,2026-06-11 08:25:10.052553,Invoice_System,view,0.61,9,0,
4307,EMP034,IT_Admin,2026-06-11 08:25:34.052553,All_Systems_Console,view,0.25,10,0,
4878,EMP037,Finance,2026-06-11 08:27:35.052553,Invoice_System,view,1.72,9,0,
884,EMP006,IT_Admin,2026-06-11 08:27:50.052553,Backup_System,edit,0.05,10,0,
6205,EMP046,Sales,2026-06-11 08:28:01.052553,CRM_System,edit,2.15,6,0,
1020,EMP008,Sales,2026-06-11 08:29:18.052553,Pricing_Sheets,view,1.1,6,0,
3553,EMP029,Finance,2026-06-11 08:29:42.052553,Tax_Records,edit,0.32,9,0,
6210,EMP046,Sales,2026-06-11 08:31:10.052553,Customer_Contracts,view,1.24,6,0,
2787,EMP024,Marketing,2026-06-11 08:31:50.052553,CRM_System,view,0.44,4,0,
4876,EMP037,Finance,2026-06-11 08:32:57.052553,Budget_Sheets,edit,0.21,9,0,
6570,EMP049,HR,2026-06-11 08:33:25.052553,Recruitment_System,view,0.42,9,0,
4610,EMP036,HR,2026-06-11 08:33:41.052553,Payroll_DB,view,0.37,9,0,
3547,EMP029,Finance,2026-06-11 08:34:23.052553,Payroll_DB,view,0.47,9,0,
6397,EMP047,HR,2026-06-11 08:35:50.052553,Recruitment_System,view,0.39,9,0,
4308,EMP034,IT_Admin,2026-06-11 08:37:35.052553,User_Access_Manager,view,1.5,10,0,
886,EMP006,IT_Admin,2026-06-11 08:37:52.052553,User_Access_Manager,view,0.22,10,0,
2794,EMP024,Marketing,2026-06-11 08:38:34.052553,CRM_System,view,0.33,4,0,
4617,EMP036,HR,2026-06-11 08:38:44.052553,Payroll_DB,edit,0.94,9,0,
3182,EMP027,Finance,2026-06-11 08:41:15.052553,Tax_Records,view,0.6,9,0,
1017,EMP008,Sales,2026-06-11 08:42:31.052553,Customer_Contracts,download,0.47,6,0,
1122,EMP009,Finance,2026-06-11 08:43:07.052553,Payroll_DB,edit,1.18,9,0,
6207,EMP046,Sales,2026-06-11 08:44:11.052553,CRM_System,edit,0.16,6,0,
1804,EMP015,IT_Admin,2026-06-11 08:44:23.052553,User_Access_Manager,edit,1.04,10,0,
5768,EMP043,IT_Admin,2026-06-11 08:44:48.052553,All_Systems_Console,view,0.2,10,0,
5324,EMP039,Engineering,2026-06-11 08:46:01.052553,CI_CD_Pipeline,view,0.05,6,0,
2270,EMP019,HR,2026-06-11 08:46:47.052553,Payroll_DB,view,0.36,9,0,
980,EMP007,Sales,2026-06-11 08:47:16.052553,Customer_Contracts,download,2.22,6,0,
2308,EMP020,Marketing,2026-06-11 08:47:29.052553,Analytics_Portal,view,0.57,4,0,
3548,EMP029,Finance,2026-06-11 08:47:53.052553,Invoice_System,view,0.24,9,0,
6030,EMP045,IT_Admin,2026-06-11 08:49:11.052553,Backup_System,view,0.42,10,0,
1018,EMP008,Sales,2026-06-11 08:49:32.052553,CRM_System,edit,0.49,6,0,
4882,EMP037,Finance,2026-06-11 08:50:05.052553,Budget_Sheets,view,0.6,9,0,
5137,EMP038,Finance,2026-06-11 08:51:18.052553,Budget_Sheets,edit,1.67,9,0,
1501,EMP013,Sales,2026-06-11 08:53:01.052553,Pricing_Sheets,download,3.07,6,0,
5869,EMP044,IT_Admin,2026-06-11 08:53:05.052553,Backup_System,view,1.32,10,0,
2693,EMP023,Finance,2026-06-11 08:54:02.052553,Tax_Records,view,0.12,9,0,
3364,EMP028,Marketing,2026-06-11 08:54:07.052553,CRM_System,view,0.23,4,0,
3866,EMP031,Engineering,2026-06-11 08:54:35.052553,Cloud_Infra_Console,view,1.09,6,0,
6203,EMP046,Sales,2026-06-11 08:56:27.052553,CRM_System,view,0.38,6,0,
1805,EMP015,IT_Admin,2026-06-11 08:56:38.052553,Server_Logs,view,1.52,10,0,
3546,EMP029,Finance,2026-06-11 08:57:16.052553,Invoice_System,view,0.14,9,0,
6199,EMP046,Sales,2026-06-11 08:57:24.052553,Pricing_Sheets,view,0.75,6,0,
5773,EMP043,IT_Admin,2026-06-11 08:57:29.052553,User_Access_Manager,edit,1.06,10,0,
3988,EMP032,Sales,2026-06-11 08:57:48.052553,Customer_Contracts,edit,1.13,6,0,
1802,EMP015,IT_Admin,2026-06-11 08:58:04.052553,All_Systems_Console,edit,0.37,10,0,
5125,EMP038,Finance,2026-06-11 08:58:08.052553,Payroll_DB,view,0.16,9,0,
3694,EMP030,Finance,2026-06-11 08:58:21.052553,Budget_Sheets,download,1.55,9,0,
1126,EMP009,Finance,2026-06-11 08:59:28.052553,Budget_Sheets,view,0.04,9,0,
2791,EMP024,Marketing,2026-06-11 09:00:57.052553,Campaign_Dashboard,edit,0.04,4,0,
1932,EMP016,Marketing,2026-06-11 09:01:48.052553,CRM_System,edit,0.08,4,0,
4880,EMP037,Finance,2026-06-11 09:03:17.052553,Payroll_DB,view,1.62,9,0,
5126,EMP038,Finance,2026-06-11 09:03:28.052553,Budget_Sheets,download,9.04,9,0,
2309,EMP020,Marketing,2026-06-11 09:05:35.052553,Campaign_Dashboard,edit,2.18,4,0,
2690,EMP023,Finance,2026-06-11 09:06:21.052553,Budget_Sheets,edit,2.36,9,0,
3696,EMP030,Finance,2026-06-11 09:07:42.052553,Payroll_DB,view,1.33,9,0,
134,EMP002,Finance,2026-06-11 09:08:55.052553,Budget_Sheets,view,0.09,9,0,
5769,EMP043,IT_Admin,2026-06-11 09:11:32.052553,Server_Logs,download,3.23,10,0,
1940,EMP016,Marketing,2026-06-11 09:12:05.052553,Analytics_Portal,view,2.48,4,0,
3365,EMP028,Marketing,2026-06-11 09:13:07.052553,Social_Media_Tools,view,1.06,4,0,
1128,EMP009,Finance,2026-06-11 09:14:08.052553,Budget_Sheets,edit,0.06,9,0,
5872,EMP044,IT_Admin,2026-06-11 09:15:27.052553,All_Systems_Console,edit,0.32,10,0,
5870,EMP044,IT_Admin,2026-06-11 09:16:24.052553,User_Access_Manager,view,1.8,10,0,
4304,EMP034,IT_Admin,2026-06-11 09:17:47.052553,All_Systems_Console,view,0.94,10,0,
6208,EMP046,Sales,2026-06-11 09:18:35.052553,Customer_Contracts,view,0.44,6,0,
3362,EMP028,Marketing,2026-06-11 09:18:35.052553,Analytics_Portal,download,0.11,4,0,
3551,EMP029,Finance,2026-06-11 09:18:56.052553,Payroll_DB,view,1.29,9,0,
1806,EMP015,IT_Admin,2026-06-11 09:19:01.052553,All_Systems_Console,view,1.45,10,0,
1935,EMP016,Marketing,2026-06-11 09:19:20.052553,CRM_System,view,0.13,4,0,
883,EMP006,IT_Admin,2026-06-11 09:20:08.052553,User_Access_Manager,edit,0.29,10,0,
1640,EMP014,IT_Admin,2026-06-11 09:21:05.052553,Backup_System,edit,2.06,10,0,
5326,EMP039,Engineering,2026-06-11 09:22:08.052553,Cloud_Infra_Console,download,9.46,6,0,
139,EMP002,Finance,2026-06-11 09:22:14.052553,Payroll_DB,edit,0.06,9,0,
4058,EMP033,Sales,2026-06-11 09:22:19.052553,Customer_Contracts,edit,1.4,6,0,
4063,EMP033,Sales,2026-06-11 09:23:45.052553,Pricing_Sheets,view,0.04,6,0,
6022,EMP045,IT_Admin,2026-06-11 09:23:49.052553,Server_Logs,view,0.11,10,0,
1503,EMP013,Sales,2026-06-11 09:24:11.052553,CRM_System,edit,0.76,6,0,
351,EMP003,Engineering,2026-06-11 09:27:37.052553,Bug_Tracker,view,0.69,6,0,
3184,EMP027,Finance,2026-06-11 09:27:44.052553,Payroll_DB,view,0.26,9,0,
2790,EMP024,Marketing,2026-06-11 09:28:51.052553,Campaign_Dashboard,view,1.57,4,0,
2584,EMP022,HR,2026-06-11 09:28:59.052553,Employee_Records,view,1.65,9,0,
1944,EMP016,Marketing,2026-06-11 09:29:12.052553,Social_Media_Tools,edit,0.3,4,0,
6023,EMP045,IT_Admin,2026-06-11 09:29:29.052553,User_Access_Manager,view,0.49,10,0,
4612,EMP036,HR,2026-06-11 09:29:48.052553,Employee_Records,view,0.41,9,0,
138,EMP002,Finance,2026-06-11 09:30:01.052553,Payroll_DB,download,3.16,9,0,
3183,EMP027,Finance,2026-06-11 09:30:32.052553,Payroll_DB,download,5.32,9,0,
6027,EMP045,IT_Admin,2026-06-11 09:30:34.052553,User_Access_Manager,view,0.04,10,0,
3693,EMP030,Finance,2026-06-11 09:31:12.052553,Invoice_System,download,3.8,9,0,
3698,EMP030,Finance,2026-06-11 09:31:12.052553,Budget_Sheets,view,0.61,9,0,
3867,EMP031,Engineering,2026-06-11 09:31:38.052553,Bug_Tracker,view,0.34,6,0,
2788,EMP024,Marketing,2026-06-11 09:31:40.052553,CRM_System,view,1.38,4,0,
2585,EMP022,HR,2026-06-11 09:34:39.052553,Recruitment_System,view,1.93,9,0,
4613,EMP036,HR,2026-06-11 09:34:49.052553,Recruitment_System,view,0.14,9,0,
1637,EMP014,IT_Admin,2026-06-11 09:34:59.052553,Server_Logs,view,0.14,10,0,
4611,EMP036,HR,2026-06-11 09:36:08.052553,Recruitment_System,view,0.99,9,0,
